Companies,URL,Description,Industry,Country,Total Funding (M),All People,All Investors,Expert Collections,Market Reports,Company Status,Founded Year,Acquirer
Verdi Oncology,verdioncology.com,Verdi Oncology is an oncology practice and clinical research management company focused on partnering with high-quality oncology physicians and practices.,Medical Facilities & Services,United States,0.68,,"Pharos Capital Group, Paycheck Protection Program","Digital Health, Oncology Tech",,Alive / Active,2018,Pharos Capital Group
Texas Oncology,texasoncology.com,Texas Oncology is a community-based cancer care oncology practice.,Medical Facilities & Services,United States,,"Steve Paulson (CEO), Jason Shook (CFO), Debra Patt MD PhD MBA (EVP)",,,,Alive / Active,1986,
Oncology Association,,"Oncology Association specializes in providing medical oncology services and is based in Florida. On May 25, 2021, Oncology Association was acquired by The Oncology Institute of Hope and Innovation. The terms of the transaction were not disclosed.",Medical Facilities & Services,United States,,,The Oncology Institute of Hope and Innovation,,,Acquired,,The Oncology Institute of Hope and Innovation
Integrated Oncology Network,ionetwork.com,"Integrated Oncology Network is a radiation oncology management, development, and advisory firm that provides oncology solutions and capital for physician practices and hospitals who seek strategic, financial, and management expertise.",Medical Facilities & Services,United States,,Stuart Bitting (CFO),Silver Oak Services Partners,,,Alive / Active,,
Theradex Oncology,theradex.com,"Theradex Oncology is a global contract research organization (""CRO"") with extensive expertise in oncology clinical development.",Medical Facilities & Services,United States,,,,,,Alive / Active,,
Nashville Oncology Associates,nashvilleoncology.com,Nashville Oncology Associates is comprised of board certified physicians who diagnose and treat patients with malignancies (oncology) and blood disorders (hematology).,Medical Facilities & Services,United States,,,Verdi Oncology,,,Acquired,1998,Verdi Oncology
ACT Oncology,actoncology.com,ACT Oncology provides contract research organization (CRO) specializing exclusively in the field of oncology. ACT Oncology provides drug development services focused on the design and execution of clinical trials on behalf of innovative life sciences companies and not-for-profit patient organizations.,Medical Facilities & Services,United States,,,Precision Medicine Group,,,Acquired,,Precision Medicine Group
Revenue Cycle,revenuecycleinc.com,"Revenue Cycle is an oncology practice reimbursement firm, offering expertise in oncology service line planning, coding, billing, reimbursement, and cancer center development.",Medical Facilities & Services,United States,,,Revenue Cycle Coding Strategies,,,Merged,,Revenue Cycle Coding Strategies
Southwestern Radiation Oncology,covinacancercare.com,"Southwestern Radiation Oncology provides healthcare services. The company is engaged in the medical practice of diagnosing and treating cancer. It is based in Covina, California. In June 2023, Southwestern Radiation Oncology was acquired by The Oncology Institute of Hope and Innovation. The terms of the transaction were not disclosed.",Medical Facilities & Services,United States,,,The Oncology Institute of Hope and Innovation,,,Acquired,,The Oncology Institute of Hope and Innovation
Broward Oncology Associates,browardoncology.com,"Broward Oncology Associates is an independent medical practice. It offers cancer and hematology care. The company was founded in 1987 and is based in Fort Lauderdale, Florida. In October 2022, Broward Oncology Associates was acquired by The Oncology Institute of Hope and Innovation. The terms of the transaction were not disclosed.",Medical Facilities & Services,United States,,,The Oncology Institute of Hope and Innovation,,,Acquired,1987,The Oncology Institute of Hope and Innovation
