Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,Rural?,RUCA,FORHP Rural/Urban,CSBA Rural/Urban,FIPS,Sale-leaseback,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,Phone
ADVANCED CARE HOSPITAL OF MONTANA,272001,Ernest Health,One Equity Partners,Y,MT,3528 GABEL RD,BILLINGS,59102,,October 2018,PE,Proprietary,LTACH,West ,,,,1,Urban,Metro,30111,MPT,,40,40,40,,,(406) 373-8000
ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO LLC,322004,Ernest Health,One Equity Partners,Y,NM,4451 EAST LOHMAN AVENUE,LAS CRUCES,88011,,October 2018,PE,Proprietary,LTACH,West ,,,,1,Urban,Metro,35013,MPT,,20,20,20,,,(575) 521-6600
ADVANCED SPECIALTY HOSPITAL OF TOLEDO,362038,CommuniCare Family of Companies,Longevity Venture Partners,Y,OH,1015 GARDEN LAKE PARKWAY,TOLEDO,43614,,,,Proprietary,LTACH,Midwest ,,,,1,Urban,Metro,39095,,,40,40,40,,,(419) 381-0037
"AHN EMERUS WESTMORELAND, LLC",390333,Allegheny Health Network/Emerus ,"Welsh, Carson, Anderson & Stowe",Y,PA,6321 ROUTE 30,GREENSBURG,15601,WESTMORELAND,September 2015,PE,Proprietary,Acute Care Hospitals,Northeast ,PPS,Not Available,,1,Urban,Metro,42129,,40,,10,10,10,Yes,(787) 295-4735
ALTA VISTA REGIONAL HOSPITAL,320003,Quorum Health Corporation,"GoldenTree Asset Management, Davidson Kempner",Y,NM,104 LEGION DRIVE,LAS VEGAS,87701,SAN MIGUEL,May 2020,Public,Proprietary,Acute Care Hospitals,West ,SCH,3,1,4,Rural,Micro,35047,,46,,62,62,44,Yes,(505) 426-3930
"ALTUS HOUSTON HOSPITAL, LP",670135,Altus Healthcare,"BTG Pactual, ZT Corporate",Y,TX,6011 W SAM HOUSTON PKWY SOOUTH,HOUSTON,77072,HARRIS,July 2020,Private,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48201,,10,,10,10,10,Yes,(713) 773-0556
ALTUS LUMBERTON HOSPITAL,670134,Altus Healthcare,"BTG Pactual, ZT Corporate",Y,TX,220 BLANCO ST,LUMBERTON,77657,HARDIN,July 2020,Private,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48199,,4,,4,4,1,Yes,(409) 227-0520
ANDALUSIA HEALTH,010036,ScionHealth,Apollo Global Management,Y,AL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,36420,COVINGTON,November 2018,Public,Proprietary,Acute Care Hospitals,South ,MDH,3,1,7,Rural,Neither,1039,,83,,88,88,86,Yes,(334) 222-8466
"ANIMAS SURGICAL HOSPITAL, LLC",060117,Surgery Partners,Bain Capital,Y,CO,"575 RIVERGATE LN, STE 100",DURANGO,81301,LA PLATA,August 2017,PE/Public,Proprietary,Acute Care Hospitals,West ,PPS,Not Available,1,4,Rural,Micro,8067,,12,,12,12,12,Yes,(970) 247-3537
ARIZONA SPINE AND JOINT HOSPITAL,030107,Surgery Partners,Bain Capital,Y,AZ,4620 EAST BASELINE ROAD,MESA,85206,MARICOPA,August 2017,PE/Public,Proprietary,Acute Care Hospitals,West ,PPS,Not Available,,1,Urban,Metro,4013,,23,,23,23,22,No,(480) 832-4770
